Watching for file changes with StatReloader
System check identified some issues:

WARNINGS:
?: (staticfiles.W004) The directory 'C:\Users\HP\Desktop\Nayasetu\NyayaSetu\static' in the STATICFILES_DIRS setting does not exist.

System check identified 1 issue (0 silenced).
[21/Jun/2026 15:37:58] "GET / HTTP/1.1" 200 31194
Not Found: /favicon.ico
[21/Jun/2026 15:38:01] "GET /favicon.ico HTTP/1.1" 404 3083
[21/Jun/2026 15:46:09] "GET /auth/register/ HTTP/1.1" 200 4377
[21/Jun/2026 15:46:13] "GET /auth/login/ HTTP/1.1" 200 4092
[21/Jun/2026 15:46:21] "POST /auth/login/ HTTP/1.1" 302 0
[21/Jun/2026 15:46:21] "GET /auth/login/ HTTP/1.1" 200 4230
[21/Jun/2026 15:46:36] "POST /auth/login/ HTTP/1.1" 302 0
[21/Jun/2026 15:46:37] "GET /auth/dashboard/ HTTP/1.1" 200 28861
[21/Jun/2026 15:46:37] "GET /auth/api/get-profile/ HTTP/1.1" 200 97
[21/Jun/2026 15:46:37] "GET /auth/api/get-stats/ HTTP/1.1" 200 41
[21/Jun/2026 15:47:26] "GET /auth/api/get-complaints/ HTTP/1.1" 200 892
[21/Jun/2026 15:47:59] "GET /auth/api/get-profile/ HTTP/1.1" 200 97
[21/Jun/2026 16:07:00] "GET /auth/logout/ HTTP/1.1" 302 0
[21/Jun/2026 16:07:00] "GET / HTTP/1.1" 200 31194
[21/Jun/2026 16:07:04] "GET /admin-dashboard/login/ HTTP/1.1" 200 4198
[21/Jun/2026 16:07:14] "POST /admin-dashboard/login/ HTTP/1.1" 302 0
[21/Jun/2026 16:07:14] "GET /admin-dashboard/dashboard/ HTTP/1.1" 200 22520
[21/Jun/2026 16:07:14] "GET /admin-dashboard/api/officers/ HTTP/1.1" 200 268
[21/Jun/2026 16:07:15] "GET /admin-dashboard/api/complaints/ HTTP/1.1" 200 5282
[21/Jun/2026 16:07:15] "GET /admin-dashboard/api/stats/ HTTP/1.1" 200 213
[21/Jun/2026 16:07:41] "GET /admin-dashboard/api/complaints/ HTTP/1.1" 200 5282
[21/Jun/2026 16:08:57] "GET /admin-dashboard/logout/ HTTP/1.1" 302 0
[21/Jun/2026 16:08:57] "GET /admin-dashboard/login/ HTTP/1.1" 200 4205
[21/Jun/2026 16:09:03] "GET /admin-dashboard/logout/ HTTP/1.1" 302 0
[21/Jun/2026 16:09:03] "GET /admin-dashboard/login/ HTTP/1.1" 200 4122
[21/Jun/2026 16:09:05] "GET / HTTP/1.1" 200 31194
[21/Jun/2026 16:09:07] "GET /lawyer/ HTTP/1.1" 200 5262
[21/Jun/2026 16:11:04] "GET /lawyer/create/ HTTP/1.1" 200 5930
